Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDW04,8.985,Regular,0.057827101,Frozen Foods,128.831,OUT046,1997,Small,Tier 1,Supermarket Type1,1428.141
FDB29,16.7,Regular,0.052368061,Frozen Foods,112.7176,OUT013,1987,High,Tier 3,Supermarket Type1,801.6232
FDB53,13.35,Low Fat,0.139735226,Frozen Foods,147.5392,OUT045,2002,NA,Tier 2,Supermarket Type1,3877.6192
FDF28,15.7,Regular,0.038078899,Frozen Foods,122.9046,OUT017,2007,NA,Tier 2,Supermarket Type1,1992.0736
FDH40,11.6,Regular,0.078929571,Frozen Foods,79.9276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
FDL52,6.635,Regular,0.046350909,Frozen Foods,37.4506,OUT017,2007,NA,Tier 2,Supermarket Type1,1176.4686
FDR04,7.075,Low Fat,0.03777249,Frozen Foods,98.0068,OUT010,1998,NA,Tier 3,Grocery Store,291.6204
FDB17,13.15,Low Fat,0.036746479,Frozen Foods,181.2976,OUT045,2002,NA,Tier 2,Supermarket Type1,3259.7568
FDB29,16.7,Regular,0.052517969,Frozen Foods,115.4176,OUT045,2002,NA,Tier 2,Supermarket Type1,687.1056
FDJ41,6.85,Low Fat,0.022976497,Frozen Foods,261.6594,OUT018,2009,Medium,Tier 3,Supermarket Type2,3401.5722
FDH53,20.5,Regular,0.019199733,Frozen Foods,84.3592,OUT046,1997,Small,Tier 1,Supermarket Type1,1816.3024
FDW28,18.25,Low Fat,0.089004389,Frozen Foods,196.7452,OUT045,2002,NA,Tier 2,Supermarket Type1,978.726
FDO28,5.765,Low Fat,0.072284689,Frozen Foods,119.9098,OUT035,2004,Small,Tier 2,Supermarket Type1,2048.6666
FDH16,10.5,Low Fat,0.052852621,Frozen Foods,88.783,OUT017,2007,NA,Tier 2,Supermarket Type1,2067.309
FDR52,12.65,Regular,0.076354362,Frozen Foods,192.1846,OUT018,2009,Medium,Tier 3,Supermarket Type2,1146.5076
FDK41,14.3,Low Fat,0.127541722,Frozen Foods,84.9224,OUT046,1997,Small,Tier 1,Supermarket Type1,1193.1136
FDW28,18.25,low fat,0.088750333,Frozen Foods,196.5452,OUT013,1987,High,Tier 3,Supermarket Type1,2348.9424
FDA40,16,Regular,0.099252438,Frozen Foods,87.4856,OUT035,2004,Small,Tier 2,Supermarket Type1,1054.6272
FDE16,8.895,Low Fat,0.026384672,Frozen Foods,208.9954,OUT049,1999,Medium,Tier 1,Supermarket Type1,4584.6988
FDE53,NA,LF,0.026749991,Frozen Foods,106.928,OUT027,1985,Medium,Tier 3,Supermarket Type3,2876.256
FDK28,5.695,Low Fat,0.065857092,Frozen Foods,258.5646,OUT018,2009,Medium,Tier 3,Supermarket Type2,4380.2982
FDU52,7.56,Low Fat,0.06390019,Frozen Foods,157.263,OUT045,2002,NA,Tier 2,Supermarket Type1,2503.408
FDN16,12.6,Regular,0.062648111,Frozen Foods,104.899,OUT013,1987,High,Tier 3,Supermarket Type1,1960.781
FDB53,13.35,Low Fat,0.140241213,Frozen Foods,150.2392,OUT017,2007,NA,Tier 2,Supermarket Type1,2684.5056
FDA16,6.695,Low Fat,0.033935576,Frozen Foods,221.9456,OUT035,2004,Small,Tier 2,Supermarket Type1,2210.456
FDO04,16.6,Low Fat,0.026537206,Frozen Foods,57.2614,OUT046,1997,Small,Tier 1,Supermarket Type1,1049.9666
FDG53,10,Low Fat,0.045818773,Frozen Foods,138.718,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18
FDD29,12.15,Low Fat,0.030815427,Frozen Foods,252.0698,OUT010,1998,NA,Tier 3,Grocery Store,1014.6792
FDC53,8.68,Low Fat,0.008871687,Frozen Foods,99.7384,OUT018,2009,Medium,Tier 3,Supermarket Type2,295.6152
FDC17,12.15,Low Fat,0.015523707,Frozen Foods,212.0928,OUT018,2009,Medium,Tier 3,Supermarket Type2,2735.1064
FDZ52,19.2,Low Fat,0.100230114,Frozen Foods,112.9886,OUT049,1999,Medium,Tier 1,Supermarket Type1,1667.829
FDF53,20.75,Regular,0.083590755,Frozen Foods,182.2318,OUT035,2004,Small,Tier 2,Supermarket Type1,3067.3406
FDD29,12.15,Low Fat,0.018485511,Frozen Foods,253.1698,OUT018,2009,Medium,Tier 3,Supermarket Type2,1522.0188
FDR16,5.845,Regular,0.105445801,Frozen Foods,214.4218,OUT018,2009,Medium,Tier 3,Supermarket Type2,1496.0526
FDI28,14.3,Low Fat,0.026428924,Frozen Foods,78.2302,OUT018,2009,Medium,Tier 3,Supermarket Type2,554.6114
FDO52,NA,Regular,0.076790922,Frozen Foods,172.1106,OUT027,1985,Medium,Tier 3,Supermarket Type3,2566.659
FDS28,8.18,reg,0.082529704,Frozen Foods,56.9588,OUT049,1999,Medium,Tier 1,Supermarket Type1,744.3644
FDL40,17.7,Low Fat,0.011636708,Frozen Foods,94.541,OUT045,2002,NA,Tier 2,Supermarket Type1,1061.951
FDZ04,9.31,low fat,0.037923509,Frozen Foods,61.651,OUT013,1987,High,Tier 3,Supermarket Type1,379.506
FDU16,19.25,Regular,0.058365706,Frozen Foods,82.1908,OUT049,1999,Medium,Tier 1,Supermarket Type1,2432.8332
FDO04,NA,Low Fat,0.026408698,Frozen Foods,53.2614,OUT027,1985,Medium,Tier 3,Supermarket Type3,607.8754
FDM52,15.1,Low Fat,0.026046138,Frozen Foods,147.2076,OUT045,2002,NA,Tier 2,Supermarket Type1,1773.6912
FDH40,NA,Regular,0.078547351,Frozen Foods,79.3276,OUT027,1985,Medium,Tier 3,Supermarket Type3,1380.8692
FDI41,NA,Regular,0.109003832,Frozen Foods,145.2418,OUT019,1985,Small,Tier 1,Grocery Store,147.1418
FDJ40,NA,Regular,0.049349121,Frozen Foods,108.6912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3057.3536
FDM52,15.1,Low Fat,0.025993423,Frozen Foods,147.4076,OUT046,1997,Small,Tier 1,Supermarket Type1,2808.3444
FDU40,20.85,Low Fat,0.062606583,Frozen Foods,192.2478,OUT010,1998,NA,Tier 3,Grocery Store,387.4956
FDA52,16.2,Regular,0.128682722,Frozen Foods,178.437,OUT045,2002,NA,Tier 2,Supermarket Type1,1058.622
FDX16,17.85,LF,0.065810045,Frozen Foods,149.105,OUT046,1997,Small,Tier 1,Supermarket Type1,2247.075
FDN52,NA,Regular,0.13093275,Frozen Foods,86.9198,OUT027,1985,Medium,Tier 3,Supermarket Type3,1569.9564
FDU40,20.85,Low Fat,0.037372847,Frozen Foods,192.7478,OUT013,1987,High,Tier 3,Supermarket Type1,3099.9648
FDG52,13.65,Low Fat,0.065576228,Frozen Foods,47.7402,OUT013,1987,High,Tier 3,Supermarket Type1,643.1628
FDI41,NA,Regular,0.061955439,Frozen Foods,145.1418,OUT027,1985,Medium,Tier 3,Supermarket Type3,4561.3958
FDD05,19.35,Low Fat,0.016597651,Frozen Foods,121.5098,OUT013,1987,High,Tier 3,Supermarket Type1,2892.2352
FDF52,9.3,Low Fat,0.067055339,Frozen Foods,184.2292,OUT018,2009,Medium,Tier 3,Supermarket Type2,1277.0044
FDK28,5.695,Low Fat,0.065960909,Frozen Foods,259.2646,OUT017,2007,NA,Tier 2,Supermarket Type1,9275.9256
FDC29,8.39,Regular,0.024304264,Frozen Foods,114.0176,OUT018,2009,Medium,Tier 3,Supermarket Type2,1488.7288
FDP28,13.65,Regular,0.081096613,Frozen Foods,261.2936,OUT017,2007,NA,Tier 2,Supermarket Type1,3131.9232
FDE17,20.1,Regular,0.054565932,Frozen Foods,152.2366,OUT045,2002,NA,Tier 2,Supermarket Type1,2418.1856
FDN16,12.6,Regular,0.062700289,Frozen Foods,102.199,OUT046,1997,Small,Tier 1,Supermarket Type1,1960.781
FDL52,6.635,reg,0.077145553,Frozen Foods,39.8506,OUT010,1998,NA,Tier 3,Grocery Store,75.9012
FDS16,15.15,Regular,0.066121873,Frozen Foods,145.676,OUT013,1987,High,Tier 3,Supermarket Type1,3661.9
FDS52,NA,Low Fat,0.005448005,Frozen Foods,102.1016,OUT027,1985,Medium,Tier 3,Supermarket Type3,3542.056
FDF04,17.5,Low Fat,0.013634468,Frozen Foods,256.4304,OUT035,2004,Small,Tier 2,Supermarket Type1,1808.3128
FDE41,9.195,Regular,0.064376263,Frozen Foods,83.1566,OUT017,2007,NA,Tier 2,Supermarket Type1,1099.2358
FDT28,13.3,Low Fat,0.063664998,Frozen Foods,151.6708,OUT049,1999,Medium,Tier 1,Supermarket Type1,3912.2408
FDM28,15.7,Low Fat,0.075661985,Frozen Foods,181.366,OUT010,1998,NA,Tier 3,Grocery Store,179.766
FDP16,18.6,Low Fat,0.039294854,Frozen Foods,246.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,2702.4822
FDI41,18.5,reg,0.062609071,Frozen Foods,148.6418,OUT017,2007,NA,Tier 2,Supermarket Type1,1765.7016
FDF05,17.5,Low Fat,0.026925385,Frozen Foods,264.391,OUT045,2002,NA,Tier 2,Supermarket Type1,5259.82
FDO40,17.1,Low Fat,0.032812669,Frozen Foods,147.1392,OUT017,2007,NA,Tier 2,Supermarket Type1,2237.088
FDG16,15.25,Low Fat,0.089742065,Frozen Foods,213.7192,OUT013,1987,High,Tier 3,Supermarket Type1,1078.596
FDF53,20.75,Regular,0.083736551,Frozen Foods,178.7318,OUT049,1999,Medium,Tier 1,Supermarket Type1,3428.2042
FDY52,NA,Low Fat,0.012865901,Frozen Foods,59.3536,OUT019,1985,Small,Tier 1,Grocery Store,122.5072
FDW40,14,Regular,0.105573769,Frozen Foods,143.9812,OUT018,2009,Medium,Tier 3,Supermarket Type2,1139.8496
FDN04,NA,Regular,0.01401884,Frozen Foods,178.1344,OUT027,1985,Medium,Tier 3,Supermarket Type3,3747.1224
FDA28,16.1,Regular,0.047801883,Frozen Foods,127.4362,OUT046,1997,Small,Tier 1,Supermarket Type1,2265.0516
FDB05,5.155,Low Fat,0.083198341,Frozen Foods,246.0776,OUT046,1997,Small,Tier 1,Supermarket Type1,990.7104
FDY52,6.365,Low Fat,0.007348286,Frozen Foods,62.8536,OUT046,1997,Small,Tier 1,Supermarket Type1,796.2968
FDU52,7.56,Low Fat,0.064030636,Frozen Foods,154.463,OUT018,2009,Medium,Tier 3,Supermarket Type2,2503.408
FDE05,10.895,Regular,0.032427039,Frozen Foods,147.7102,OUT013,1987,High,Tier 3,Supermarket Type1,1166.4816
FDI04,NA,Regular,0.127660257,Frozen Foods,198.5426,OUT019,1985,Small,Tier 1,Grocery Store,790.9704
FDZ04,9.31,Low Fat,0.038169783,Frozen Foods,64.551,OUT017,2007,NA,Tier 2,Supermarket Type1,1581.275
FDT52,9.695,Regular,0.047697859,Frozen Foods,244.6144,OUT017,2007,NA,Tier 2,Supermarket Type1,2695.1584
FDT04,17.25,Low Fat,0.10764721,Frozen Foods,39.3822,OUT017,2007,NA,Tier 2,Supermarket Type1,314.2576
FDE29,8.905,LF,0.143129124,Frozen Foods,58.8878,OUT046,1997,Small,Tier 1,Supermarket Type1,1151.1682
FDX16,17.85,Low Fat,0.06575528,Frozen Foods,151.505,OUT013,1987,High,Tier 3,Supermarket Type1,2546.685
FDV40,17.35,Low Fat,0.014689006,Frozen Foods,74.5038,OUT035,2004,Small,Tier 2,Supermarket Type1,739.038
FDG17,6.865,Regular,0.035895934,Frozen Foods,244.4486,OUT049,1999,Medium,Tier 1,Supermarket Type1,6353.0636
FDF16,7.3,Low Fat,0.086266286,Frozen Foods,147.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,1921.4988
FDH05,14.35,Regular,0.091098018,Frozen Foods,233.5984,OUT045,2002,NA,Tier 2,Supermarket Type1,1853.5872
FDP04,15.35,Low Fat,0.013840784,Frozen Foods,65.2168,OUT045,2002,NA,Tier 2,Supermarket Type1,958.752
FDI16,14,Regular,0.135775701,Frozen Foods,54.564,OUT046,1997,Small,Tier 1,Supermarket Type1,1597.92
FDA04,NA,Regular,0.066406853,Frozen Foods,259.7962,OUT027,1985,Medium,Tier 3,Supermarket Type3,5697.9164
FDJ41,6.85,Low Fat,0.022864238,Frozen Foods,260.0594,OUT013,1987,High,Tier 3,Supermarket Type1,6018.1662
FDE16,NA,Low Fat,0.046124444,Frozen Foods,206.7954,OUT019,1985,Small,Tier 1,Grocery Store,833.5816
FDD16,20.5,Low Fat,0.060847634,Frozen Foods,75.0696,OUT010,1998,NA,Tier 3,Grocery Store,149.1392
FDP52,18.7,Regular,0.071091591,Frozen Foods,228.601,OUT017,2007,NA,Tier 2,Supermarket Type1,4823.721
FDC05,13.1,Regular,0.098938169,Frozen Foods,195.7768,OUT049,1999,Medium,Tier 1,Supermarket Type1,4138.6128
FDB17,13.15,Low Fat,0.036879539,Frozen Foods,181.3976,OUT017,2007,NA,Tier 2,Supermarket Type1,3078.6592
FDI53,8.895,Regular,0.137858955,Frozen Foods,162.1236,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577.9776
FDV52,20.7,Regular,0.122208091,Frozen Foods,119.7466,OUT017,2007,NA,Tier 2,Supermarket Type1,4006.7844
FDL40,17.7,Low Fat,0.011660463,Frozen Foods,96.541,OUT018,2009,Medium,Tier 3,Supermarket Type2,2220.443
FDF52,9.3,Low Fat,0.066918731,Frozen Foods,184.2292,OUT045,2002,NA,Tier 2,Supermarket Type1,1641.8628
FDK52,18.25,Low Fat,0.132596101,Frozen Foods,226.2062,OUT010,1998,NA,Tier 3,Grocery Store,677.1186
FDG17,6.865,Regular,0.036042939,Frozen Foods,244.4486,OUT017,2007,NA,Tier 2,Supermarket Type1,4153.9262
FDE16,NA,Low Fat,0.026216144,Frozen Foods,207.5954,OUT027,1985,Medium,Tier 3,Supermarket Type3,6668.6528
FDF16,NA,Low Fat,0.085715273,Frozen Foods,146.6076,OUT027,1985,Medium,Tier 3,Supermarket Type3,1773.6912
FDI16,14,Regular,0.136328794,Frozen Foods,54.864,OUT018,2009,Medium,Tier 3,Supermarket Type2,319.584
FDD16,NA,Low Fat,0.063649582,Frozen Foods,74.7696,OUT019,1985,Small,Tier 1,Grocery Store,74.5696
FDK52,18.25,Low Fat,0.079152918,Frozen Foods,223.8062,OUT013,1987,High,Tier 3,Supermarket Type1,4288.4178
FDG29,NA,Low Fat,0.056019324,Frozen Foods,40.0454,OUT027,1985,Medium,Tier 3,Supermarket Type3,419.454
FDA16,NA,Low Fat,0.033777629000000003,Frozen Foods,222.8456,OUT027,1985,Medium,Tier 3,Supermarket Type3,7073.4592
FDA40,16,Regular,0.099832728,Frozen Foods,87.4856,OUT017,2007,NA,Tier 2,Supermarket Type1,263.6568
FDO40,17.1,Low Fat,0.032678839,Frozen Foods,150.7392,OUT049,1999,Medium,Tier 1,Supermarket Type1,3131.9232
FDL52,6.635,Regular,0.046277956,Frozen Foods,36.7506,OUT018,2009,Medium,Tier 3,Supermarket Type2,75.9012
FDK52,18.25,Low Fat,0.0793795,Frozen Foods,226.1062,OUT045,2002,NA,Tier 2,Supermarket Type1,6771.186
FDT40,5.985,Low Fat,0.095715608,Frozen Foods,125.8678,OUT013,1987,High,Tier 3,Supermarket Type1,3560.6984
FDM04,9.195,Regular,0.04731256,Frozen Foods,50.7666,OUT018,2009,Medium,Tier 3,Supermarket Type2,512.666
FDZ40,NA,Low Fat,0.039988162,Frozen Foods,55.7298,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024.6662
FDH40,11.6,Regular,0.079251097,Frozen Foods,79.2276,OUT018,2009,Medium,Tier 3,Supermarket Type2,649.8208
FDF16,7.3,Low Fat,0.144167934,Frozen Foods,146.3076,OUT010,1998,NA,Tier 3,Grocery Store,886.8456
FDI40,11.5,reg,0.125857678,Frozen Foods,100.5358,OUT045,2002,NA,Tier 2,Supermarket Type1,2111.2518
FDQ52,17,Low Fat,0.119285634,Frozen Foods,247.4434,OUT013,1987,High,Tier 3,Supermarket Type1,2980.1208
FDF41,12.15,Low Fat,0.131445848,Frozen Foods,246.846,OUT045,2002,NA,Tier 2,Supermarket Type1,6404.996
FDO40,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,OUT018,2009,Medium,Tier 3,Supermarket Type2,2087.9488
FDM52,15.1,Low Fat,0.025988508,Frozen Foods,146.6076,OUT035,2004,Small,Tier 2,Supermarket Type1,2364.9216
FDM52,15.1,Low Fat,0.026140452,Frozen Foods,149.0076,OUT017,2007,NA,Tier 2,Supermarket Type1,4138.6128
FDF16,7.3,Low Fat,0.086060695,Frozen Foods,149.8076,OUT013,1987,High,Tier 3,Supermarket Type1,2808.3444
FDE04,19.75,Regular,0.030166924,Frozen Foods,179.766,OUT010,1998,NA,Tier 3,Grocery Store,719.064
FDC17,12.15,LF,0.01544786,Frozen Foods,211.2928,OUT013,1987,High,Tier 3,Supermarket Type1,2735.1064
FDF05,17.5,Low Fat,0.02687089,Frozen Foods,264.491,OUT046,1997,Small,Tier 1,Supermarket Type1,3681.874
FDI04,13.65,Regular,0.072898645,Frozen Foods,198.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,1977.426
FDC29,8.39,Regular,0.024342578,Frozen Foods,113.6176,OUT017,2007,NA,Tier 2,Supermarket Type1,2862.94
FDC41,15.6,Low Fat,0.117095014,Frozen Foods,78.067,OUT049,1999,Medium,Tier 1,Supermarket Type1,1148.505
FDK40,7.035,Low Fat,0.021938404,Frozen Foods,264.691,OUT018,2009,Medium,Tier 3,Supermarket Type2,5785.802
FDP28,13.65,Regular,0.080640478,Frozen Foods,262.6936,OUT046,1997,Small,Tier 1,Supermarket Type1,4175.8976
FDF52,9.3,Low Fat,0.066887123,Frozen Foods,183.9292,OUT049,1999,Medium,Tier 1,Supermarket Type1,3283.7256
FDY04,17.7,Regular,0.042468413000000003,Frozen Foods,162.421,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089
FDD53,16.2,Low Fat,0.044291251,Frozen Foods,43.3454,OUT049,1999,Medium,Tier 1,Supermarket Type1,503.3448
FDJ28,12.3,Low Fat,0.021860985,Frozen Foods,193.3162,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592
FDZ28,20,Regular,0.051596927,Frozen Foods,128.0678,OUT045,2002,NA,Tier 2,Supermarket Type1,1780.3492
FDP04,15.35,Low Fat,0.013834247,Frozen Foods,62.7168,OUT049,1999,Medium,Tier 1,Supermarket Type1,958.752
FDA04,11.3,Regular,0.067107448,Frozen Foods,258.1962,OUT017,2007,NA,Tier 2,Supermarket Type1,4402.9354
FDD29,NA,Low Fat,0.018321361,Frozen Foods,255.3698,OUT027,1985,Medium,Tier 3,Supermarket Type3,4819.7262
FDH17,16.2,Regular,0.016747538,Frozen Foods,98.6726,OUT017,2007,NA,Tier 2,Supermarket Type1,1272.3438
FDC05,13.1,Regular,0.098765906,Frozen Foods,196.3768,OUT035,2004,Small,Tier 2,Supermarket Type1,2167.8448
FDH52,NA,Regular,0.076868664,Frozen Foods,62.1194,OUT019,1985,Small,Tier 1,Grocery Store,123.8388
FDJ53,10.5,Low Fat,0.071368699,Frozen Foods,121.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1446.1176
FDI16,14,Regular,0.135662712,Frozen Foods,52.064,OUT013,1987,High,Tier 3,Supermarket Type1,852.224
FDC29,8.39,Regular,0.024243294,Frozen Foods,116.0176,OUT049,1999,Medium,Tier 1,Supermarket Type1,1603.2464
FDE53,10.895,Low Fat,0.044991876,Frozen Foods,107.228,OUT010,1998,NA,Tier 3,Grocery Store,426.112
FDM28,NA,Low Fat,0.079146113,Frozen Foods,181.466,OUT019,1985,Small,Tier 1,Grocery Store,179.766
FDT40,5.985,Low Fat,0.096337184,Frozen Foods,125.2678,OUT017,2007,NA,Tier 2,Supermarket Type1,763.0068
FDB17,13.15,Low Fat,0.036729122,Frozen Foods,179.7976,OUT049,1999,Medium,Tier 1,Supermarket Type1,2535.3664
FDG41,8.84,Regular,0.076681143,Frozen Foods,110.7228,OUT049,1999,Medium,Tier 1,Supermarket Type1,1657.842
FDN16,12.6,Regular,0.063054947,Frozen Foods,102.399,OUT017,2007,NA,Tier 2,Supermarket Type1,2270.378
FDQ16,19.7,LF,0.041703666,Frozen Foods,109.1912,OUT013,1987,High,Tier 3,Supermarket Type1,1637.868
FDS40,15.35,Low Fat,0.014098693,Frozen Foods,37.219,OUT017,2007,NA,Tier 2,Supermarket Type1,805.618
FDI28,14.3,Low Fat,0.026375082,Frozen Foods,79.6302,OUT045,2002,NA,Tier 2,Supermarket Type1,792.302
FDE41,9.195,Regular,0.064002068,Frozen Foods,85.5566,OUT035,2004,Small,Tier 2,Supermarket Type1,930.1226
FDZ52,19.2,Low Fat,0.099991245,Frozen Foods,112.7886,OUT013,1987,High,Tier 3,Supermarket Type1,1779.0176
FDR40,9.1,Regular,0.008046878,Frozen Foods,78.7618,OUT049,1999,Medium,Tier 1,Supermarket Type1,402.809
FDV16,7.75,Regular,0.082930699,Frozen Foods,35.2558,OUT046,1997,Small,Tier 1,Supermarket Type1,780.9834
FDN16,12.6,Regular,0.062797771,Frozen Foods,103.999,OUT049,1999,Medium,Tier 1,Supermarket Type1,825.592
FDE04,19.75,Regular,0.018096488,Frozen Foods,179.566,OUT018,2009,Medium,Tier 3,Supermarket Type2,2696.49
FDO04,16.6,Low Fat,0.026645307,Frozen Foods,53.5614,OUT018,2009,Medium,Tier 3,Supermarket Type2,939.4438
FDD41,6.765,Regular,0.087753682,Frozen Foods,105.3306,OUT017,2007,NA,Tier 2,Supermarket Type1,2090.612
FDN04,11.8,Regular,0.014075334,Frozen Foods,176.8344,OUT013,1987,High,Tier 3,Supermarket Type1,3568.688
FDB17,13.15,Low Fat,0.036641589,Frozen Foods,180.7976,OUT013,1987,High,Tier 3,Supermarket Type1,6157.3184
FDH40,11.6,Regular,0.079376029,Frozen Foods,81.7276,OUT017,2007,NA,Tier 2,Supermarket Type1,1949.4624
FDH05,14.35,reg,0.091054989,Frozen Foods,231.8984,OUT049,1999,Medium,Tier 1,Supermarket Type1,4633.968
FDS04,10.195,Regular,0.146662938,Frozen Foods,138.6838,OUT046,1997,Small,Tier 1,Supermarket Type1,2388.2246
FDK16,9.065,Low Fat,0.115799592,Frozen Foods,95.3094,OUT018,2009,Medium,Tier 3,Supermarket Type2,1713.7692
FDI52,18.7,Low Fat,0.104840884,Frozen Foods,122.1072,OUT049,1999,Medium,Tier 1,Supermarket Type1,490.0288
FDG40,13.65,Low Fat,0.040049609,Frozen Foods,34.4558,OUT017,2007,NA,Tier 2,Supermarket Type1,611.2044
FDD05,19.35,Low Fat,0.016637301,Frozen Foods,120.9098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1687.1372
FDE16,8.895,Low Fat,0.026397141,Frozen Foods,207.8954,OUT045,2002,NA,Tier 2,Supermarket Type1,3542.7218
FDL52,NA,Regular,0.04586701,Frozen Foods,37.9506,OUT027,1985,Medium,Tier 3,Supermarket Type3,910.8144
FDP28,13.65,Regular,0.080765853,Frozen Foods,262.8936,OUT049,1999,Medium,Tier 1,Supermarket Type1,4958.8784
FDS52,8.89,low fat,0.005474515,Frozen Foods,99.7016,OUT046,1997,Small,Tier 1,Supermarket Type1,1922.8304
FDH53,20.5,Regular,0.032136417,Frozen Foods,83.9592,OUT010,1998,NA,Tier 3,Grocery Store,165.1184
FDG52,13.65,Low Fat,0.065898197,Frozen Foods,46.1402,OUT018,2009,Medium,Tier 3,Supermarket Type2,459.402
FDZ52,19.2,Low Fat,0.100055601,Frozen Foods,112.4886,OUT035,2004,Small,Tier 2,Supermarket Type1,1223.0746
FDE17,20.1,Regular,0.054540159,Frozen Foods,152.1366,OUT049,1999,Medium,Tier 1,Supermarket Type1,755.683
FDR52,12.65,Regular,0.076198809,Frozen Foods,191.3846,OUT045,2002,NA,Tier 2,Supermarket Type1,2675.1844
FDT16,9.895,Regular,0.048761046,Frozen Foods,260.5278,OUT045,2002,NA,Tier 2,Supermarket Type1,8851.1452
