"nrricode","year","forest","count","count1","count2","count3","count.add","samples","ave","abbrev","forestN"
394,2003,9020,8,6,1,1,8,387,0.020671834625323,"DOWO","Chequamegon"
394,2008,9090,13,8,2,3,13,557,0.0233393177737881,"DOWO","Superior"
394,1995,9090,12,4,2,6,12,488,0.0245901639344262,"DOWO","Superior"
394,1997,9020,6,2,1,3,6,390,0.0153846153846154,"DOWO","Chequamegon"
394,2002,9030,10,4,2,4,10,393,0.0254452926208651,"DOWO","Chippewa"
394,2010,9090,25,9,4,12,25,535,0.0467289719626168,"DOWO","Superior"
394,1997,9090,0,0,0,0,1,487,0,"DOWO","Superior"
394,2010,9020,1,0,0,1,1,361,0.00277008310249307,"DOWO","Chequamegon"
394,2007,9030,16,8,2,6,16,389,0.0411311053984576,"DOWO","Chippewa"
394,1997,9030,2,0,0,2,2,393,0.00508905852417303,"DOWO","Chippewa"
394,1999,9030,16,7,3,6,16,396,0.0404040404040404,"DOWO","Chippewa"
394,2007,9020,3,1,0,2,3,378,0.00793650793650794,"DOWO","Chequamegon"
394,1998,9090,6,2,0,4,6,486,0.0123456790123457,"DOWO","Superior"
394,2009,9020,3,0,0,3,3,381,0.0078740157480315,"DOWO","Chequamegon"
394,2003,9090,17,12,2,3,17,491,0.0346232179226069,"DOWO","Superior"
394,2005,9030,5,3,0,2,5,389,0.012853470437018,"DOWO","Chippewa"
394,2005,9090,10,6,1,3,10,485,0.0206185567010309,"DOWO","Superior"
394,2004,9020,8,3,1,4,8,381,0.020997375328084,"DOWO","Chequamegon"
394,2011,9030,9,1,3,5,9,383,0.0234986945169713,"DOWO","Chippewa"
394,2011,9090,5,0,2,3,5,538,0.00929368029739777,"DOWO","Superior"
394,2012,9090,18,6,2,10,18,556,0.0323741007194245,"DOWO","Superior"
394,1999,9090,5,3,2,0,5,487,0.0102669404517454,"DOWO","Superior"
394,2006,9020,11,7,2,2,11,388,0.0283505154639175,"DOWO","Chequamegon"
394,2000,9030,36,16,12,8,36,393,0.0916030534351145,"DOWO","Chippewa"
394,1998,9030,13,1,4,8,13,383,0.0339425587467363,"DOWO","Chippewa"
394,2012,9030,5,3,0,2,5,362,0.0138121546961326,"DOWO","Chippewa"
394,1998,9020,2,1,0,1,2,387,0.00516795865633075,"DOWO","Chequamegon"
394,2000,9090,30,19,4,7,30,484,0.0619834710743802,"DOWO","Superior"
394,2007,9090,6,1,1,4,6,487,0.0123203285420945,"DOWO","Superior"
394,2003,9030,13,8,2,3,13,393,0.0330788804071247,"DOWO","Chippewa"
394,2006,9030,17,10,3,4,17,391,0.0434782608695652,"DOWO","Chippewa"
394,1999,9020,2,0,1,1,2,385,0.00519480519480519,"DOWO","Chequamegon"
402,1998,9090,66,32,9,25,66,486,0.135802469135802,"YBSA","Superior"
402,1995,9030,55,30,14,11,55,390,0.141025641025641,"YBSA","Chippewa"
402,2000,9030,134,61,30,43,134,393,0.340966921119593,"YBSA","Chippewa"
402,2006,9020,114,55,25,34,114,388,0.293814432989691,"YBSA","Chequamegon"
402,2008,9030,104,55,20,29,104,361,0.28808864265928,"YBSA","Chippewa"
402,2001,9090,71,28,16,27,71,491,0.144602851323829,"YBSA","Superior"
402,2008,9020,176,75,33,68,176,380,0.463157894736842,"YBSA","Chequamegon"
402,2003,9090,82,41,12,29,82,491,0.167006109979633,"YBSA","Superior"
402,1996,9020,79,37,22,20,79,391,0.202046035805627,"YBSA","Chequamegon"
402,1997,9090,93,40,21,32,93,487,0.190965092402464,"YBSA","Superior"
402,2000,9020,187,94,35,58,187,375,0.498666666666667,"YBSA","Chequamegon"
402,2007,9030,150,65,31,54,150,389,0.38560411311054,"YBSA","Chippewa"
402,2008,9090,178,90,33,55,178,557,0.319569120287253,"YBSA","Superior"
402,2006,9030,148,72,30,46,148,391,0.378516624040921,"YBSA","Chippewa"
402,2001,9030,63,30,11,22,63,390,0.161538461538462,"YBSA","Chippewa"
402,2002,9090,142,65,32,45,142,489,0.29038854805726,"YBSA","Superior"
402,1997,9020,86,38,21,27,86,390,0.220512820512821,"YBSA","Chequamegon"
402,2010,9030,49,26,9,14,49,350,0.14,"YBSA","Chippewa"
402,2011,9090,103,44,21,38,103,538,0.191449814126394,"YBSA","Superior"
402,2004,9030,174,91,33,50,174,395,0.440506329113924,"YBSA","Chippewa"
402,2010,9020,95,47,18,30,95,361,0.263157894736842,"YBSA","Chequamegon"
402,2012,9090,47,24,10,13,47,556,0.0845323741007194,"YBSA","Superior"
402,2005,9030,123,52,20,51,123,389,0.316195372750643,"YBSA","Chippewa"
402,2007,9020,132,56,21,55,132,378,0.349206349206349,"YBSA","Chequamegon"
402,2003,9030,74,32,19,23,74,393,0.188295165394402,"YBSA","Chippewa"
402,2013,9090,195,106,29,60,195,563,0.346358792184725,"YBSA","Superior"
402,1998,9030,81,31,20,30,81,383,0.211488250652742,"YBSA","Chippewa"
402,2004,9020,103,50,16,37,103,381,0.270341207349081,"YBSA","Chequamegon"
402,2004,9090,124,62,24,38,124,470,0.263829787234043,"YBSA","Superior"
402,2002,9020,161,73,36,52,161,390,0.412820512820513,"YBSA","Chequamegon"
402,2009,9030,180,98,29,53,180,390,0.461538461538462,"YBSA","Chippewa"
402,1999,9090,112,55,20,37,112,487,0.229979466119097,"YBSA","Superior"
402,1996,9030,58,24,13,21,58,391,0.148337595907928,"YBSA","Chippewa"
402,1995,9020,64,35,14,15,64,385,0.166233766233766,"YBSA","Chequamegon"
402,1995,9090,56,27,10,19,56,488,0.114754098360656,"YBSA","Superior"
402,2005,9020,120,57,15,48,120,383,0.31331592689295,"YBSA","Chequamegon"
402,2013,9030,93,43,17,33,93,390,0.238461538461538,"YBSA","Chippewa"
402,2002,9030,88,48,17,23,88,393,0.223918575063613,"YBSA","Chippewa"
402,2009,9090,231,105,44,82,231,553,0.417721518987342,"YBSA","Superior"
402,2001,9020,79,33,14,32,79,389,0.203084832904884,"YBSA","Chequamegon"
402,2011,9030,66,25,19,22,66,383,0.172323759791123,"YBSA","Chippewa"
402,2006,9090,91,37,12,42,91,475,0.191578947368421,"YBSA","Superior"
402,2010,9090,70,27,11,32,70,535,0.130841121495327,"YBSA","Superior"
402,2000,9090,121,62,11,48,121,484,0.25,"YBSA","Superior"
402,1998,9020,102,45,18,39,102,387,0.263565891472868,"YBSA","Chequamegon"
402,1999,9020,160,87,29,44,160,385,0.415584415584416,"YBSA","Chequamegon"
402,2009,9020,209,110,39,60,209,381,0.548556430446194,"YBSA","Chequamegon"
402,2003,9020,157,96,24,37,157,387,0.405684754521964,"YBSA","Chequamegon"
402,1999,9030,81,42,12,27,81,396,0.204545454545455,"YBSA","Chippewa"
402,1996,9090,94,35,26,33,94,482,0.195020746887967,"YBSA","Superior"
402,2007,9090,129,55,27,47,129,487,0.264887063655031,"YBSA","Superior"
402,2005,9090,106,49,21,36,106,485,0.218556701030928,"YBSA","Superior"
402,1997,9030,51,20,9,22,51,393,0.129770992366412,"YBSA","Chippewa"
402,2012,9030,106,51,18,37,106,362,0.292817679558011,"YBSA","Chippewa"
413,1997,9020,22,16,3,3,22,390,0.0564102564102564,"YSFL","Chequamegon"
413,2001,9020,7,3,1,3,7,389,0.0179948586118252,"YSFL","Chequamegon"
413,1997,9090,26,10,3,13,26,487,0.053388090349076,"YSFL","Superior"
413,2007,9090,68,19,9,40,68,487,0.139630390143737,"YSFL","Superior"
413,2004,9020,31,22,1,8,31,381,0.0813648293963255,"YSFL","Chequamegon"
413,2004,9030,28,7,3,18,28,395,0.0708860759493671,"YSFL","Chippewa"
413,2009,9020,39,15,12,12,39,381,0.102362204724409,"YSFL","Chequamegon"
413,1998,9090,34,15,4,15,34,486,0.0699588477366255,"YSFL","Superior"
413,2005,9020,34,14,13,7,34,383,0.0887728459530026,"YSFL","Chequamegon"
413,2007,9030,23,5,5,13,23,389,0.0591259640102828,"YSFL","Chippewa"
413,2002,9030,17,3,7,7,17,393,0.0432569974554707,"YSFL","Chippewa"
413,2005,9030,38,15,6,17,38,389,0.0976863753213368,"YSFL","Chippewa"
413,1999,9030,17,8,4,5,17,396,0.0429292929292929,"YSFL","Chippewa"
413,2013,9090,33,15,6,12,33,563,0.0586145648312611,"YSFL","Superior"
413,1995,9030,13,0,5,8,13,390,0.0333333333333333,"YSFL","Chippewa"
413,2006,9090,56,23,13,20,56,475,0.117894736842105,"YSFL","Superior"
413,2005,9090,58,17,19,22,58,485,0.119587628865979,"YSFL","Superior"
413,1996,9090,23,12,4,7,23,482,0.0477178423236514,"YSFL","Superior"
413,2003,9030,17,8,3,6,17,393,0.0432569974554707,"YSFL","Chippewa"
413,2012,9090,34,16,2,16,34,556,0.0611510791366906,"YSFL","Superior"
413,2008,9030,21,5,9,7,21,361,0.0581717451523546,"YSFL","Chippewa"
413,2009,9030,26,13,5,8,26,390,0.0666666666666667,"YSFL","Chippewa"
413,2002,9090,48,16,10,22,48,489,0.098159509202454,"YSFL","Superior"
413,1995,9020,15,7,3,5,15,385,0.038961038961039,"YSFL","Chequamegon"
413,2012,9030,12,4,2,6,12,362,0.0331491712707182,"YSFL","Chippewa"
413,2008,9020,34,14,7,13,34,380,0.0894736842105263,"YSFL","Chequamegon"
413,2001,9090,45,17,7,21,45,491,0.0916496945010183,"YSFL","Superior"
413,2010,9020,38,18,8,12,38,361,0.105263157894737,"YSFL","Chequamegon"
413,2000,9030,22,3,8,11,22,393,0.0559796437659033,"YSFL","Chippewa"
413,1998,9030,11,4,1,6,11,383,0.0287206266318538,"YSFL","Chippewa"
413,1996,9030,4,2,1,1,4,391,0.010230179028133,"YSFL","Chippewa"
413,2010,9090,50,24,10,16,50,535,0.0934579439252336,"YSFL","Superior"
413,2002,9020,26,14,6,6,26,390,0.0666666666666667,"YSFL","Chequamegon"
413,1997,9030,12,3,6,3,12,393,0.0305343511450382,"YSFL","Chippewa"
413,1999,9090,30,14,5,11,30,487,0.0616016427104723,"YSFL","Superior"
413,2013,9030,22,9,1,12,22,390,0.0564102564102564,"YSFL","Chippewa"
413,1998,9020,27,15,6,6,27,387,0.0697674418604651,"YSFL","Chequamegon"
413,2000,9020,15,3,3,9,15,375,0.04,"YSFL","Chequamegon"
413,2004,9090,48,16,8,24,48,470,0.102127659574468,"YSFL","Superior"
413,2001,9030,25,12,6,7,25,390,0.0641025641025641,"YSFL","Chippewa"
413,2003,9090,39,17,8,14,39,491,0.0794297352342159,"YSFL","Superior"
413,2003,9020,27,14,3,10,27,387,0.0697674418604651,"YSFL","Chequamegon"
413,2009,9090,63,28,8,27,63,553,0.113924050632911,"YSFL","Superior"
413,2000,9090,81,39,15,27,81,484,0.167355371900826,"YSFL","Superior"
413,2006,9020,28,15,1,12,28,388,0.0721649484536082,"YSFL","Chequamegon"
413,2006,9030,37,14,8,15,37,391,0.0946291560102302,"YSFL","Chippewa"
413,2008,9090,68,22,19,27,68,557,0.122082585278276,"YSFL","Superior"
413,1995,9090,12,2,5,5,12,488,0.0245901639344262,"YSFL","Superior"
413,2007,9020,30,11,9,10,30,378,0.0793650793650794,"YSFL","Chequamegon"
413,2010,9030,28,9,4,15,28,350,0.08,"YSFL","Chippewa"
413,1999,9020,24,11,4,9,24,385,0.0623376623376623,"YSFL","Chequamegon"
413,1996,9020,21,11,7,3,21,391,0.0537084398976982,"YSFL","Chequamegon"
413,2011,9030,19,6,5,8,19,383,0.0496083550913838,"YSFL","Chippewa"
413,2011,9090,38,16,9,13,38,538,0.0706319702602231,"YSFL","Superior"
444,2002,9090,7,1,4,2,7,489,0.0143149284253579,"EAKI","Superior"
444,2007,9090,0,0,0,0,1,487,0,"EAKI","Superior"
444,2006,9020,6,2,0,4,6,388,0.0154639175257732,"EAKI","Chequamegon"
444,2007,9030,5,3,2,0,5,389,0.012853470437018,"EAKI","Chippewa"
444,2004,9030,6,5,0,1,6,395,0.0151898734177215,"EAKI","Chippewa"
444,2004,9020,6,2,2,2,6,381,0.015748031496063,"EAKI","Chequamegon"
444,1997,9020,1,0,0,1,1,390,0.00256410256410256,"EAKI","Chequamegon"
444,2003,9030,2,2,0,0,2,393,0.00508905852417303,"EAKI","Chippewa"
444,2001,9020,11,4,1,6,11,389,0.0282776349614396,"EAKI","Chequamegon"
444,1995,9030,4,2,1,1,4,390,0.0102564102564103,"EAKI","Chippewa"
444,2005,9020,16,7,2,7,16,383,0.0417754569190601,"EAKI","Chequamegon"
444,2006,9090,0,0,0,0,1,475,0,"EAKI","Superior"
444,2001,9090,0,0,0,0,1,491,0,"EAKI","Superior"
444,2010,9020,8,7,0,1,8,361,0.0221606648199446,"EAKI","Chequamegon"
444,2005,9090,1,0,0,1,1,485,0.00206185567010309,"EAKI","Superior"
444,1995,9020,10,6,0,4,10,385,0.025974025974026,"EAKI","Chequamegon"
444,2008,9090,0,0,0,0,1,557,0,"EAKI","Superior"
444,2002,9030,3,1,1,1,3,393,0.00763358778625954,"EAKI","Chippewa"
444,2007,9020,21,5,4,12,21,378,0.0555555555555556,"EAKI","Chequamegon"
444,2000,9090,0,0,0,0,1,484,0,"EAKI","Superior"
444,1998,9090,2,2,0,0,2,486,0.00411522633744856,"EAKI","Superior"
444,2013,9030,1,1,0,0,1,390,0.00256410256410256,"EAKI","Chippewa"
444,2009,9030,3,2,0,1,3,390,0.00769230769230769,"EAKI","Chippewa"
444,2012,9030,0,0,0,0,1,362,0,"EAKI","Chippewa"
444,2003,9020,19,9,3,7,19,387,0.0490956072351421,"EAKI","Chequamegon"
444,2008,9030,2,1,1,0,2,361,0.00554016620498615,"EAKI","Chippewa"
444,1999,9030,3,2,0,1,3,396,0.00757575757575758,"EAKI","Chippewa"
444,2009,9020,16,10,4,2,16,381,0.041994750656168,"EAKI","Chequamegon"
444,2013,9090,0,0,0,0,1,563,0,"EAKI","Superior"
444,1996,9030,0,0,0,0,1,391,0,"EAKI","Chippewa"
444,2010,9030,3,2,0,1,3,350,0.00857142857142857,"EAKI","Chippewa"
444,1999,9090,1,1,0,0,1,487,0.00205338809034908,"EAKI","Superior"
444,2005,9030,11,7,0,4,11,389,0.0282776349614396,"EAKI","Chippewa"
444,1996,9020,4,2,2,0,4,391,0.010230179028133,"EAKI","Chequamegon"
444,2010,9090,0,0,0,0,1,535,0,"EAKI","Superior"
444,2000,9030,0,0,0,0,1,393,0,"EAKI","Chippewa"
444,1998,9020,11,5,2,4,11,387,0.0284237726098191,"EAKI","Chequamegon"
444,1999,9020,18,9,3,6,18,385,0.0467532467532468,"EAKI","Chequamegon"
444,2006,9030,6,5,1,0,6,391,0.0153452685421995,"EAKI","Chippewa"
444,2002,9020,29,20,5,4,29,390,0.0743589743589744,"EAKI","Chequamegon"
444,2011,9030,1,0,0,1,1,383,0.00261096605744125,"EAKI","Chippewa"
444,1996,9090,1,0,1,0,1,482,0.0020746887966805,"EAKI","Superior"
444,2008,9020,10,6,0,4,10,380,0.0263157894736842,"EAKI","Chequamegon"
444,1997,9090,0,0,0,0,1,487,0,"EAKI","Superior"
444,2003,9090,1,1,0,0,1,491,0.00203665987780041,"EAKI","Superior"
444,1997,9030,3,0,0,3,3,393,0.00763358778625954,"EAKI","Chippewa"
444,2009,9090,0,0,0,0,1,553,0,"EAKI","Superior"
444,2000,9020,4,2,2,0,4,375,0.0106666666666667,"EAKI","Chequamegon"
444,2012,9090,3,1,1,1,3,556,0.00539568345323741,"EAKI","Superior"
444,1998,9030,4,3,1,0,4,383,0.010443864229765,"EAKI","Chippewa"
444,2004,9090,1,0,0,1,1,470,0.00212765957446809,"EAKI","Superior"
444,2001,9030,3,3,0,0,3,390,0.00769230769230769,"EAKI","Chippewa"
444,2011,9090,3,3,0,0,3,538,0.00557620817843866,"EAKI","Superior"
444,1995,9090,4,4,0,0,4,488,0.00819672131147541,"EAKI","Superior"
452,2005,9090,2,0,0,2,2,485,0.00412371134020619,"GCFL","Superior"
452,2004,9030,12,6,2,4,12,395,0.030379746835443,"GCFL","Chippewa"
452,2013,9030,22,12,3,7,22,390,0.0564102564102564,"GCFL","Chippewa"
452,2001,9020,39,21,6,12,39,389,0.10025706940874,"GCFL","Chequamegon"
452,2006,9020,34,26,1,7,34,388,0.0876288659793814,"GCFL","Chequamegon"
452,2010,9090,20,6,6,8,20,535,0.0373831775700935,"GCFL","Superior"
452,2008,9030,36,15,10,11,36,361,0.0997229916897507,"GCFL","Chippewa"
452,2000,9020,69,37,7,25,69,375,0.184,"GCFL","Chequamegon"
452,2007,9020,37,14,8,15,37,378,0.0978835978835979,"GCFL","Chequamegon"
452,2009,9020,21,7,6,8,21,381,0.0551181102362205,"GCFL","Chequamegon"
452,2010,9030,29,18,4,7,29,350,0.0828571428571429,"GCFL","Chippewa"
452,2000,9090,13,5,1,7,13,484,0.0268595041322314,"GCFL","Superior"
452,2011,9090,4,2,1,1,4,538,0.00743494423791822,"GCFL","Superior"
452,2006,9090,3,2,0,1,3,475,0.00631578947368421,"GCFL","Superior"
452,1995,9020,59,38,6,15,59,385,0.153246753246753,"GCFL","Chequamegon"
452,1999,9090,2,2,0,0,2,487,0.00410677618069815,"GCFL","Superior"
