code,rep,win,n_cards_played,n_suns_played,owl_score,n_owls_left
CV,6,FALSE,43,13,12,3
NB,3,TRUE,17,8,0,0
BM,2,FALSE,45,13,32,3
UU,3,TRUE,38,11,0,0
VY,2,TRUE,27,9,0,0
LF,8,FALSE,37,13,85,5
SL,3,FALSE,25,13,10,2
ER,6,TRUE,23,9,0,0
FA,4,FALSE,43,13,104,6
VD,8,FALSE,30,13,41,6
RZ,5,TRUE,14,6,0,0
VT,2,TRUE,16,5,0,0
YX,4,FALSE,41,13,10,4
VY,6,TRUE,25,9,0,0
GC,2,TRUE,23,5,0,0
JC,8,TRUE,34,12,0,0
AC,6,TRUE,27,10,0,0
JC,2,TRUE,29,10,0,0
NW,6,TRUE,32,8,0,0
IH,8,FALSE,36,13,59,4
TP,8,TRUE,25,11,0,0
OA,3,FALSE,33,13,114,6
VZ,2,FALSE,35,13,54,6
EV,8,FALSE,31,13,24,5
FA,9,FALSE,44,13,69,6
LT,10,TRUE,14,7,0,0
RX,5,FALSE,33,13,15,1
EL,7,FALSE,36,13,8,3
DD,1,TRUE,19,4,0,0
ZN,3,TRUE,34,11,0,0
XN,6,TRUE,32,10,0,0
PE,6,FALSE,30,13,50,4
HH,10,TRUE,30,9,0,0
FO,4,FALSE,40,13,3,1
ZM,2,TRUE,39,12,0,0
YY,2,TRUE,20,8,0,0
RZ,9,TRUE,16,7,0,0
GB,8,TRUE,20,3,0,0
QS,6,TRUE,12,5,0,0
TS,7,FALSE,39,13,53,5
HR,9,FALSE,34,13,41,5
RZ,2,TRUE,10,3,0,0
SZ,1,TRUE,16,9,0,0
ZN,5,TRUE,30,7,0,0
RG,7,TRUE,28,8,0,0
SO,4,TRUE,16,7,0,0
IS,2,FALSE,36,13,6,3
VY,9,TRUE,30,12,0,0
XB,10,TRUE,14,5,0,0
FS,10,TRUE,31,9,0,0
AM,9,TRUE,38,12,0,0
CA,3,TRUE,20,5,0,0
KE,10,TRUE,20,5,0,0
XW,2,TRUE,27,12,0,0
KU,7,FALSE,31,13,53,4
ZF,2,TRUE,30,9,0,0
AU,8,TRUE,34,12,0,0
XH,10,FALSE,44,13,44,5
LC,2,FALSE,40,13,107,6
UG,2,TRUE,24,7,0,0
ZY,2,TRUE,14,6,0,0
WJ,4,TRUE,25,8,0,0
KN,9,TRUE,29,12,0,0
IK,2,FALSE,41,13,2,1
DK,1,FALSE,39,13,76,5
OA,4,FALSE,27,13,147,6
RV,4,TRUE,40,12,0,0
KA,5,FALSE,39,13,13,3
GB,6,TRUE,24,6,0,0
YY,10,TRUE,19,7,0,0
VK,3,TRUE,19,8,0,0
NV,4,TRUE,28,7,0,0
KL,7,FALSE,41,13,52,3
DS,2,TRUE,29,8,0,0
YQ,7,TRUE,35,12,0,0
YR,7,TRUE,39,10,0,0
FA,6,FALSE,37,13,99,6
KA,8,FALSE,33,13,48,5
XK,8,TRUE,32,10,0,0
WM,10,FALSE,36,13,40,4
SL,7,FALSE,29,13,2,1
WA,2,TRUE,16,6,0,0
ZY,4,TRUE,17,9,0,0
IU,7,TRUE,29,10,0,0
FS,9,TRUE,31,10,0,0
YW,8,FALSE,40,13,18,4
HX,7,TRUE,25,9,0,0
VW,9,FALSE,41,13,21,3
LF,2,FALSE,32,13,90,5
ZM,9,TRUE,31,9,0,0
XC,7,FALSE,35,13,34,3
DD,8,TRUE,23,6,0,0
UG,5,TRUE,26,8,0,0
QS,7,TRUE,13,5,0,0
XW,3,TRUE,20,9,0,0
DS,9,TRUE,37,11,0,0
NW,3,TRUE,32,8,0,0
SL,2,TRUE,31,12,0,0
XK,4,TRUE,34,12,0,0
EK,10,TRUE,20,9,0,0
TD,9,TRUE,20,10,0,0
PW,4,TRUE,17,6,0,0
KH,2,FALSE,33,13,45,6
WO,3,TRUE,15,8,0,0
VK,2,TRUE,18,9,0,0
XN,1,TRUE,32,10,0,0
WI,1,TRUE,39,10,0,0
BU,10,TRUE,14,4,0,0
DK,6,FALSE,46,13,47,3
WW,10,TRUE,40,10,0,0
PT,8,FALSE,26,13,162,6
KE,6,TRUE,20,5,0,0
WY,9,FALSE,37,13,29,6
CA,4,FALSE,24,13,22,2
SV,4,TRUE,14,3,0,0
VW,8,FALSE,43,13,35,3
TD,6,TRUE,13,5,0,0
CJ,1,FALSE,41,13,14,2
OB,5,FALSE,38,13,41,2
TK,3,TRUE,36,12,0,0
II,1,TRUE,38,11,0,0
II,9,FALSE,43,13,4,1
AU,3,TRUE,33,11,0,0
IS,6,FALSE,31,13,38,6
NZ,5,FALSE,42,13,99,5
II,4,FALSE,46,13,1,1
ZM,8,FALSE,35,13,17,3
SE,10,TRUE,12,4,0,0
OX,5,TRUE,22,5,0,0
DS,1,TRUE,33,10,0,0
HH,6,TRUE,36,9,0,0
GC,7,TRUE,24,6,0,0
KN,2,TRUE,23,6,0,0
KE,1,TRUE,25,8,0,0
HX,6,TRUE,19,6,0,0
EC,6,FALSE,34,13,6,3
TK,5,TRUE,27,7,0,0
NK,4,TRUE,40,12,0,0
WJ,2,TRUE,31,9,0,0
WM,6,FALSE,40,13,17,3
ZD,5,TRUE,9,1,0,0
ET,3,FALSE,32,13,12,3
PF,1,FALSE,38,13,11,4
YD,8,TRUE,28,11,0,0
SV,9,TRUE,17,7,0,0
QS,8,TRUE,10,2,0,0
SZ,3,TRUE,15,7,0,0
KP,3,FALSE,45,13,49,4
YQ,1,TRUE,30,9,0,0
TC,7,FALSE,40,13,74,6
EC,4,FALSE,39,13,4,2
RV,1,TRUE,40,12,0,0
TD,3,TRUE,25,10,0,0
KH,6,FALSE,30,13,91,6
PT,5,FALSE,39,13,106,6
UU,6,FALSE,36,13,14,4
YQ,4,TRUE,38,11,0,0
QS,5,TRUE,11,3,0,0
UU,1,TRUE,43,12,0,0
BX,3,TRUE,24,7,0,0
DU,9,FALSE,39,13,14,2
WO,1,TRUE,14,5,0,0
SE,5,TRUE,14,6,0,0
TX,6,TRUE,29,10,0,0
AU,7,TRUE,32,10,0,0
JP,10,FALSE,41,13,6,3
KU,3,FALSE,32,13,22,4
VY,5,TRUE,27,10,0,0
ET,10,FALSE,24,13,34,3
UU,10,TRUE,41,11,0,0
SO,5,TRUE,27,12,0,0
DK,8,FALSE,45,13,17,2
ZC,10,TRUE,33,12,0,0
IF,3,FALSE,38,13,54,4
OX,1,TRUE,21,8,0,0
FB,3,TRUE,41,12,0,0
GB,5,TRUE,28,9,0,0
OZ,3,FALSE,33,13,50,5
YR,4,FALSE,42,13,3,2
UU,5,FALSE,37,13,1,1
VK,4,TRUE,13,5,0,0
ZL,8,TRUE,8,1,0,0
FO,3,TRUE,29,11,0,0
KN,1,TRUE,27,10,0,0
ZF,1,TRUE,31,8,0,0
FB,1,FALSE,37,13,2,1
WF,5,TRUE,27,10,0,0
UU,8,TRUE,38,11,0,0
DK,3,FALSE,47,13,4,1
OB,1,FALSE,39,13,41,4
LG,1,TRUE,10,3,0,0
YJ,8,FALSE,38,13,43,4
YJ,1,FALSE,39,13,76,4
YX,1,FALSE,41,13,23,4
FB,4,TRUE,36,11,0,0
YJ,3,FALSE,32,13,98,5
LG,8,TRUE,13,6,0,0
LC,8,FALSE,37,13,100,6
DX,10,TRUE,20,7,0,0
HH,4,TRUE,29,7,0,0
KL,5,FALSE,37,13,71,5
HV,5,TRUE,16,8,0,0
FG,5,FALSE,35,13,12,4
DK,10,FALSE,40,13,58,4
SW,7,TRUE,19,9,0,0
ZL,1,TRUE,11,4,0,0
LG,5,TRUE,13,5,0,0
XW,4,TRUE,15,6,0,0
ZC,7,FALSE,33,13,3,2
DD,3,TRUE,27,7,0,0
DU,7,TRUE,36,11,0,0
PE,8,TRUE,37,10,0,0
JX,6,TRUE,26,9,0,0
TS,5,FALSE,38,13,91,5
RD,2,TRUE,20,9,0,0
AH,3,TRUE,36,10,0,0
JE,8,FALSE,39,13,107,6
NB,5,TRUE,18,6,0,0
EQ,4,FALSE,45,13,17,3
FO,8,TRUE,21,6,0,0
PL,2,FALSE,24,13,30,2
TV,7,TRUE,31,9,0,0
OX,2,TRUE,20,6,0,0
NW,8,TRUE,35,10,0,0
GB,9,TRUE,31,12,0,0
MW,2,TRUE,29,11,0,0
OZ,6,FALSE,36,13,11,4
TS,4,FALSE,38,13,77,5
EQ,2,FALSE,41,13,28,3
GC,10,TRUE,24,6,0,0
ZH,2,FALSE,40,13,13,3
TV,1,TRUE,30,9,0,0
WI,9,FALSE,32,13,53,5
SO,10,TRUE,12,1,0,0
IF,8,FALSE,40,13,22,3
QS,3,TRUE,9,1,0,0
CV,2,FALSE,41,13,17,4
OB,3,FALSE,39,13,36,4
TP,5,TRUE,20,10,0,0
FS,8,TRUE,27,8,0,0
ET,7,FALSE,36,13,1,1
DU,1,FALSE,41,13,6,1
WY,2,FALSE,36,13,10,4
WV,5,FALSE,45,13,6,3
RX,4,FALSE,36,13,1,1
PL,4,TRUE,30,10,0,0
AC,1,FALSE,28,13,3,2
LS,9,FALSE,31,13,52,4
KH,3,FALSE,26,13,120,6
YG,8,TRUE,25,12,0,0
VY,10,TRUE,23,8,0,0
CY,6,FALSE,29,13,88,6
NV,9,TRUE,22,5,0,0
QL,4,TRUE,29,8,0,0
FJ,6,TRUE,31,7,0,0
AM,4,FALSE,37,13,1,1
OF,7,FALSE,37,13,84,5
FA,2,FALSE,42,13,88,5
RX,1,FALSE,32,13,33,2
FS,2,TRUE,34,12,0,0
WJ,3,TRUE,29,11,0,0
HR,2,FALSE,39,13,14,3
ZY,7,TRUE,16,7,0,0
GL,6,TRUE,36,12,0,0
TX,7,TRUE,32,11,0,0
WW,2,TRUE,43,12,0,0
GZ,9,FALSE,35,13,15,5
IS,9,FALSE,24,13,76,6
ZT,8,FALSE,31,13,33,6
PF,4,TRUE,35,9,0,0
XK,7,FALSE,32,13,11,2
YG,7,TRUE,22,8,0,0
KA,2,TRUE,37,10,0,0
ZD,7,TRUE,11,3,0,0
JC,10,TRUE,26,7,0,0
MF,3,TRUE,39,12,0,0
YY,1,TRUE,17,3,0,0
AC,4,TRUE,27,11,0,0
PY,2,TRUE,23,10,0,0
IG,9,FALSE,39,13,1,1
NK,5,FALSE,37,13,14,1
YJ,2,FALSE,37,13,83,5
FO,6,TRUE,28,10,0,0
YW,1,FALSE,36,13,20,5
YW,3,FALSE,34,13,22,4
MQ,8,TRUE,29,10,0,0
DP,5,TRUE,24,11,0,0
TK,4,TRUE,23,5,0,0
SV,6,TRUE,15,6,0,0
GC,8,TRUE,28,10,0,0
UR,4,FALSE,38,13,30,3
GT,7,FALSE,28,13,51,2
KU,10,FALSE,33,13,41,4
RD,6,TRUE,11,3,0,0
HR,7,FALSE,28,13,79,5
TV,3,TRUE,35,12,0,0
BU,4,TRUE,21,10,0,0
ON,6,TRUE,29,9,0,0
SV,2,TRUE,15,4,0,0
FA,5,FALSE,45,13,67,5
KH,8,FALSE,35,13,60,6
RV,9,TRUE,35,10,0,0
ZL,7,TRUE,8,0,0,0
EC,2,TRUE,37,12,0,0
JP,6,FALSE,40,13,2,1
MW,9,TRUE,31,11,0,0
IG,3,FALSE,38,13,4,2
VK,9,TRUE,20,8,0,0
SL,6,TRUE,26,10,0,0
NK,6,TRUE,35,12,0,0
ZC,3,FALSE,33,13,3,2
SV,3,TRUE,19,7,0,0
CY,5,FALSE,44,13,8,3
OV,10,FALSE,30,13,9,1
EH,1,FALSE,33,13,65,6
EQ,5,FALSE,38,13,63,4
GC,1,TRUE,29,10,0,0
TX,9,FALSE,28,13,26,4
ET,1,TRUE,34,11,0,0
WW,3,FALSE,40,13,6,1
WH,4,TRUE,24,6,0,0
NK,9,FALSE,37,13,29,2
DX,2,TRUE,21,7,0,0
YQ,5,TRUE,33,9,0,0
BM,7,FALSE,35,13,27,4
LT,4,TRUE,16,5,0,0
VY,1,TRUE,22,7,0,0
LW,10,FALSE,34,13,74,5
JX,7,TRUE,29,8,0,0
QS,1,TRUE,16,4,0,0
YJ,9,FALSE,41,13,51,3
GZ,7,TRUE,33,10,0,0
DU,5,TRUE,37,10,0,0
YY,6,TRUE,23,10,0,0
YD,2,TRUE,29,10,0,0
PE,10,TRUE,40,12,0,0
IK,6,FALSE,41,13,5,2
PL,7,TRUE,32,12,0,0
YQ,3,TRUE,32,10,0,0
ZN,10,TRUE,27,6,0,0
FO,7,TRUE,29,10,0,0
YJ,6,FALSE,41,13,53,5
XK,9,FALSE,34,13,5,2
CJ,10,TRUE,39,12,0,0
XN,10,TRUE,24,5,0,0
WF,8,TRUE,28,12,0,0
GL,2,FALSE,28,13,20,4
ZH,7,FALSE,40,13,18,4
CJ,4,FALSE,41,13,1,1
ON,1,TRUE,34,12,0,0
YQ,9,TRUE,34,11,0,0
ZH,8,FALSE,39,13,3,2
NK,8,FALSE,39,13,8,1
MZ,6,TRUE,17,6,0,0
ER,3,TRUE,23,7,0,0
AC,2,TRUE,26,10,0,0
NV,1,FALSE,23,13,28,2
VZ,7,FALSE,40,13,28,5
YX,9,FALSE,26,13,109,6
EC,7,TRUE,38,11,0,0
EH,6,FALSE,36,13,58,6
GZ,1,FALSE,38,13,6,3
WA,9,TRUE,18,7,0,0
JX,3,TRUE,25,7,0,0
LT,9,TRUE,15,5,0,0
MW,4,TRUE,23,10,0,0
ZY,9,TRUE,14,7,0,0
GZ,6,FALSE,32,13,24,5
ZT,5,FALSE,33,13,22,6
FG,3,FALSE,39,13,1,1
DS,3,TRUE,34,12,0,0
OB,8,FALSE,38,13,27,2
TP,3,TRUE,21,12,0,0
LC,6,FALSE,40,13,86,6
HV,9,TRUE,17,9,0,0
FJ,4,FALSE,31,13,38,4
ON,8,TRUE,33,11,0,0
CA,9,FALSE,23,13,25,2
ZQ,1,TRUE,40,11,0,0
WW,8,TRUE,39,10,0,0
WW,7,FALSE,39,13,21,2
YD,9,TRUE,27,8,0,0
NB,10,TRUE,20,10,0,0
YW,7,FALSE,36,13,9,3
GT,1,FALSE,35,13,6,2
GC,9,TRUE,33,12,0,0
QG,9,TRUE,18,4,0,0
AH,2,TRUE,40,11,0,0
TK,1,TRUE,30,9,0,0
WR,2,FALSE,35,13,45,5
ER,5,TRUE,27,9,0,0
WM,9,FALSE,42,13,39,3
VK,10,TRUE,19,8,0,0
BM,8,FALSE,39,13,42,3
FA,3,FALSE,46,13,61,3
YD,10,TRUE,34,12,0,0
PL,10,TRUE,32,12,0,0
AH,9,TRUE,29,8,0,0
NB,6,TRUE,19,8,0,0
XC,9,TRUE,39,12,0,0
HR,5,FALSE,29,13,81,5
ZL,9,TRUE,14,5,0,0
TD,1,TRUE,13,4,0,0
SV,10,TRUE,14,3,0,0
WI,10,TRUE,40,12,0,0
TC,2,FALSE,45,13,87,5
UR,2,FALSE,37,13,4,1
QS,9,TRUE,10,2,0,0
GZ,4,TRUE,35,11,0,0
UR,7,FALSE,38,13,13,1
BF,2,FALSE,38,13,1,1
EK,7,TRUE,19,8,0,0
WF,6,TRUE,29,10,0,0
HH,7,TRUE,37,12,0,0
AM,8,FALSE,35,13,4,2
YG,4,TRUE,26,12,0,0
IF,10,FALSE,35,13,31,3
GB,10,TRUE,26,7,0,0
NZ,3,FALSE,44,13,94,6
DX,9,TRUE,23,8,0,0
QG,7,TRUE,16,4,0,0
MW,7,TRUE,24,9,0,0
HR,4,FALSE,30,13,82,5
IH,10,TRUE,39,10,0,0
ON,10,TRUE,29,10,0,0
IH,2,FALSE,40,13,27,4
LG,7,TRUE,13,5,0,0
JE,3,FALSE,38,13,105,6
OZ,7,FALSE,33,13,54,5
PF,9,TRUE,43,12,0,0
KE,7,TRUE,18,6,0,0
XN,4,FALSE,35,13,1,1
BF,8,TRUE,28,9,0,0
NV,5,TRUE,34,12,0,0
MZ,2,TRUE,14,3,0,0
RV,6,FALSE,36,13,1,1
PE,2,TRUE,39,11,0,0
FJ,8,TRUE,32,11,0,0
XK,2,FALSE,29,13,10,2
PW,8,TRUE,18,5,0,0
ZT,3,TRUE,37,11,0,0
ZH,4,FALSE,38,13,30,5
WV,10,TRUE,39,9,0,0
II,6,FALSE,41,13,6,1
JE,4,FALSE,32,13,131,6
DK,2,FALSE,47,13,22,4
SB,5,FALSE,37,13,33,6
WR,5,FALSE,36,13,60,6
IS,1,FALSE,29,13,41,6
XB,3,TRUE,20,8,0,0
EC,8,FALSE,39,13,3,2
JE,6,FALSE,32,13,126,6
SO,7,TRUE,19,8,0,0
ZN,2,TRUE,33,8,0,0
